Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1),Error Code
GLCTSM_3,HF,6-31G*,268.0,0.0,1.0,265.08,224.2,18.0,75621.0,-1257.75435311,-1257.50118506,0.0609623,-1257.56214736,-584.76,19.99,64.58,76.5,
GOHKUJ_1,HF,6-31G*,376.0,0.0,1.0,322.32,704.9,16.0,159141.0,-1101.16775779,-1100.69279055,0.07109024,-1100.76388078,47.65,66.27,76.27,102.19,
HIBYOG,HF,6-31G*,456.0,0.0,1.0,435.23,168.9,18.0,1099562.0,-2164.919041110984,,,,,,,,Optimization Did Not Converge
HOQWUG_1,HF,6-31G*,404.0,0.0,1.0,364.22,646.5,18.0,139412.0,-1323.91969132,-1323.59331702,0.06813062,-1323.66144764,-22.47,45.86,55.14,59.62,
HOSLEH_4,HF,6-31G*,480.0,0.0,1.0,446.28,1213.0,18.0,669792.0,-1714.24086594,-1713.76586238,0.08570969,-1713.85157207,-39.77,20.86,28.87,41.58,
HUZDEL_1,HF,6-31G*,336.0,0.0,1.0,292.25,475.7,16.0,71711.0,-1020.69808488,-1020.31057798,0.06614861,-1020.37672659,21.83,37.9,56.73,59.87,
ITINUU_4,HF,6-31G*,678.0,0.0,1.0,629.44,194.0,18.0,1918038.0,-2357.420362105866,,,,,,,,Optimization Did Not Converge
IWIMUW_1,HF,6-31G*,510.0,0.0,1.0,459.45,1399.2,18.0,394344.0,-1853.19057941,-1852.71749932,0.08424275,-1852.80174208,-78.62,-38.44,23.09,34.35,
IWUCUY,HF,6-31G*,436.0,0.0,1.0,380.36,1049.9,18.0,759855.0,-1326.47139921,-1325.9518897,0.07957061,-1326.03146031,-276.35,-42.39,-26.15,36.38,
JAZVIP10_1,HF,6-31G*,340.0,0.0,1.0,345.31,400.3,18.0,97583.0,-1854.34208383,-1854.06799075,0.0647453,-1854.13273605,-63.8,35.96,44.04,51.05,
JIZBUS_3,HF,6-31G*,492.0,0.0,1.0,428.39,1413.1,18.0,785684.0,-1487.30704306,-1486.75088313,0.07310556,-1486.82398869,-43.58,-36.7,0.84,51.72,
JUFXIU_1,HF,6-31G*,674.0,0.0,1.0,586.58,200.8,18.0,2117697.0,-2034.480781751126,,,,,,,,Optimization Did Not Converge
JUJVIT,HF,6-31G*,382.0,0.0,1.0,334.28,679.8,10.0,126744.0,-1175.74073577,-1175.30354969,0.07078656,-1175.37433625,9.96,34.15,50.74,64.16,
KUNNOW,HF,6-31G*,444.0,0.0,1.0,410.76,1007.4,10.0,243750.0,-1793.80614348,-1793.33091476,0.07666591,-1793.40758067,39.32,44.51,49.67,70.38,
LIYRUG_3,HF,6-31G*,382.0,0.0,1.0,346.25,680.2,16.0,208649.0,-1290.9191309,-1290.48751894,0.07134356,-1290.5588625,38.54,45.09,68.19,85.6,
LOGLAU_1_protonated,HF,6-31G*,332.0,0.0,1.0,459.66,154.8,18.0,749817.0,-4076.750175106511,,,,,,,,Optimization Did Not Converge
MAWGEY_1,HF,6-31G*,664.0,0.0,1.0,564.62,3618.0,10.0,1418650.0,-1881.91788853,-1881.11320296,0.10488062,-1881.21808359,-2567.36,-1455.36,-71.63,-32.33,
MCRZMA_4,HF,6-31G*,424.0,0.0,1.0,390.27,885.7,16.0,153508.0,-1476.31522143,-1475.86510779,0.07902497,-1475.94413276,16.22,32.35,50.94,56.09,
MDXSPP_4,HF,6-31G*,298.0,0.0,1.0,257.21,316.0,10.0,52287.0,-879.60637848,-879.29070057,0.05998591,-879.35068648,22.74,50.94,81.35,90.53,
MICGIP_1,HF,6-31G*,584.0,0.0,1.0,524.44,2304.8,18.0,1729292.0,-1905.98068835,-1905.3429074,0.09616023,-1905.43906763,-50.37,-34.1,-13.13,24.11,
MMALTS_2_protonated,HF,6-31G*,396.0,0.0,1.0,362.25,741.5,16.0,131539.0,-1367.80961093,-1367.37160216,0.07345599,-1367.44505815,23.91,32.08,48.9,67.92,
PXCHTR10_1,HF,6-31G*,396.0,0.0,1.0,346.29,742.0,16.0,148074.0,-1214.28368446,-1213.83716322,0.07114978,-1213.908313,6.97,52.3,58.48,75.0,
QASZOA_1,HF,6-31G*,436.0,0.0,1.0,549.29,160.2,18.0,832381.0,-3594.106803896696,,,,,,,,Optimization Did Not Converge
QILCOF_4,HF,6-31G*,480.0,0.0,1.0,418.36,1209.6,18.0,346334.0,-1438.50013099,-1438.02493291,0.07903587,-1438.10396878,-39.08,-21.44,17.96,32.12,
RALYIN_1,HF,6-31G*,434.0,0.0,1.0,384.3,911.2,18.0,253964.0,-1367.08411068,-1366.64822146,0.06966964,-1366.7178911,-15.69,28.18,33.63,49.42,
ROFGOJ_5,HF,6-31G*,646.0,0.0,1.0,584.44,2838.8,18.0,782086.0,-2141.34036844,-2140.72047217,0.09619305,-2140.81666523,-22.75,16.65,21.97,23.87,
SOKTIW_3,HF,6-31G*,538.0,0.0,1.0,477.54,1946.9,18.0,642274.0,-1906.72523792,-1906.07673515,0.08027255,-1906.1570077,-63.86,-48.45,-36.18,15.01,
TEGYEJ_1,HF,6-31G*,440.0,0.0,1.0,392.3,876.5,18.0,824604.0,-1389.25838373,-1388.87000212,0.073538,-1388.94354012,-31.99,-17.48,20.3,42.59,
TIBWOQ_1_protonated,HF,6-31G*,302.0,0.0,1.0,274.17,287.7,10.0,52830.0,-1000.86933701,-1000.60947192,0.05764831,-1000.66712023,40.15,55.53,78.53,133.17,
UFATED_1,HF,6-31G*,700.0,0.0,1.0,614.33,162.4,18.0,,,,,,,,,,Error termination in PROPINT
UGIBES_1,HF,6-31G*,592.0,0.0,1.0,508.52,2490.8,10.0,723054.0,-1723.11148568,-1722.41863606,0.08751593,-1722.506152,22.74,34.85,49.95,54.44,
URPOAD10_5,HF,6-31G*,610.0,0.0,1.0,579.35,186.0,18.0,1225391.0,-2397.719201618616,,,,,,,,Optimization Did Not Converge
UXADUV_4,HF,6-31G*,324.0,0.0,1.0,294.18,381.5,16.0,63887.0,-1093.8752778,-1093.55632694,0.05494474,-1093.61127168,83.44,105.33,124.21,141.77,
XALKUQ_3,HF,6-31G*,524.0,0.0,1.0,478.37,1709.2,18.0,733013.0,-1795.86761349,-1795.28326676,0.08616533,-1795.36943209,-381.34,-28.77,14.41,42.68,
XOPMIB_3_protonated,HF,6-31G*,380.0,0.0,1.0,369.16,159.9,18.0,585616.0,-1628.790496330357,,,,,,,,Optimization Did Not Converge
XUDFUX_2,HF,6-31G*,364.0,0.0,1.0,346.28,161.3,18.0,522879.0,-1572.601692410471,,,,,,,,Optimization Did Not Converge
ZIFBOI_1_protonated,HF,6-31G*,466.0,0.0,1.0,416.42,167.0,18.0,761049.0,-1682.807280416741,,,,,,,,Optimization Did Not Converge
