Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1),Error Code
JIZBUS_3,HF,,181.0,0.0,1.0,428.39,233.4,8.0,71955.0,-1475.53011574,-1474.9756066,0.07659052,-1475.05219712,7.44,32.14,43.78,71.34,
JUFXIU_1,HF,,250.0,0.0,1.0,586.58,90.9,8.0,,,,,,,,,,Error termination in PROPINT
JUJVIT,HF,,140.0,0.0,1.0,334.28,120.6,8.0,26206.0,-1165.3647595,-1164.93376045,0.06768259,-1165.00144304,-56.56,38.01,41.02,51.64,
KUNNOW,HF,,170.0,0.0,1.0,410.76,191.7,8.0,51718.0,-1780.05439544,-1779.58804652,0.07445257,-1779.66249908,-34.37,35.51,51.9,57.28,
LIYRUG_3,HF,,140.0,0.0,1.0,346.25,117.8,8.0,28968.0,-1275.76455802,-1275.33818751,0.07067716,-1275.40886467,5.73,58.04,63.43,71.04,
LOGLAU_1_protonated,HF,,177.0,0.0,1.0,459.66,32.1,8.0,15821.0,,,,,,,,,
MAWGEY_1,HF,,247.0,0.0,1.0,564.62,87.8,8.0,,,,,,,,,,Error termination in PROPINT
MCRZMA_4,HF,,155.0,0.0,1.0,390.27,149.4,8.0,34571.0,-1455.57453833,-1455.1343557,0.07758883,-1455.21194453,-78.11,20.65,28.83,46.23,
MDXSPP_4,HF,,108.0,0.0,1.0,257.21,59.5,8.0,9255.0,-871.79664515,-871.48321707,0.05901191,-871.54222898,28.15,58.83,92.42,105.94,
MICGIP_1,HF,,215.0,0.0,1.0,524.44,371.8,8.0,122609.0,-1883.92368855,-1883.29806258,0.10068658,-1883.39874916,-58.61,-39.21,3.09,32.27,
MMALTS_2_protonated,HF,,145.0,0.0,1.0,362.25,127.4,8.0,28768.0,-1351.12681063,-1350.69291445,0.07279582,-1350.76571027,32.77,55.34,60.19,73.57,
PXCHTR10_1,HF,,145.0,0.0,1.0,346.29,130.8,8.0,28160.0,-1203.94814954,-1203.50861317,0.06929449,-1203.57790766,41.14,55.13,66.69,82.81,
QASZOA_1,HF,,183.0,0.0,1.0,549.29,38.2,8.0,23706.0,,,,,,,,,
QILCOF_4,HF,,175.0,0.0,1.0,418.36,198.8,8.0,46806.0,-1425.97076645,-1425.4966091,0.08305611,-1425.57966522,3.29,25.38,29.93,43.99,
RALYIN_1,HF,,158.0,0.0,1.0,384.3,150.7,8.0,42074.0,-1355.30397863,-1354.87055061,0.07100349,-1354.9415541,11.82,31.52,55.48,69.14,
ROFGOJ_5,HF,,236.0,0.0,1.0,584.44,73.8,8.0,,,,,,,,,,Error termination in PROPINT
SOKTIW_3,HF,,207.0,0.0,1.0,477.54,69.7,8.0,80480.0,,,,,,,,,
TEGYEJ_1,HF,,159.0,0.0,1.0,392.3,143.7,8.0,35734.0,-1372.81440152,-1372.42525248,0.07475638,-1372.50000886,9.16,32.83,39.56,45.48,
TIBWOQ_1_protonated,HF,,108.0,0.0,1.0,274.17,51.7,8.0,7212.0,-985.46513165,-985.20808293,0.05672245,-985.26480538,61.7,64.31,85.09,144.11,
UFATED_1,HF,,255.0,0.0,1.0,614.33,75.2,8.0,,,,,,,,,,Error termination in PROPINT
UGIBES_1,HF,,219.0,0.0,1.0,508.52,399.2,8.0,142910.0,-1711.36983338,-1710.67724674,0.08158064,-1710.75882738,-35.23,-6.44,44.36,55.47,
URPOAD10_5,HF,,229.0,0.0,1.0,579.35,382.1,8.0,111661.0,-2365.1216961,-2364.59225874,0.08753992,-2364.67979866,-14.43,18.24,29.28,38.46,
UXADUV_4,HF,,117.0,0.0,1.0,294.18,66.1,8.0,12011.0,-1081.83385211,-1081.52048171,0.05567631,-1081.57615802,54.81,99.14,117.61,126.74,
XALKUQ_3,HF,,193.0,0.0,1.0,478.37,278.0,8.0,84854.0,-1774.67780191,-1774.09763065,0.08959688,-1774.18722752,7.4,21.41,35.0,59.49,
XOPMIB_3_protonated,HF,,144.0,0.0,1.0,369.16,104.0,8.0,22758.0,-1606.28331748,-1605.97615322,0.06486576,-1606.04101898,-991.41,-10.26,39.39,69.69,
XUDFUX_2,HF,,140.0,0.0,1.0,346.28,112.1,8.0,23436.0,-1559.01637599,-1558.64809459,0.06595619,-1558.71405078,60.18,70.23,84.2,105.86,
ZIFBOI_1_protonated,HF,,177.0,0.0,1.0,416.42,53.5,8.0,33666.0,,,,,,,,,
