Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Error Code
FORZOB_0,HF,,154.0,1.0,1.0,359.36,58.7,4.0,647.0,-1245.70265364502,
FUQMEL_0,HF,,125.0,-1.0,1.0,313.24,39.6,4.0,1351.0,-1432.767424253612,
GEVBIS_0,HF,,92.0,1.0,1.0,198.26,36.2,4.0,209.0,-600.796586178652,
HADVEN_0,HF,,128.0,1.0,1.0,271.39,53.6,4.0,3549.0,-823.043689098622,
HAPWUS_0,HF,,122.0,0.0,1.0,263.38,45.1,4.0,890.0,-1079.760063120903,
HOBNAP_0,HF,,136.0,0.0,1.0,296.38,51.3,4.0,848.0,-888.691559738645,
HUTWIE01_0,HF,,140.0,1.0,1.0,324.32,50.0,4.0,2621.0,-1059.033067192169,
IGOFAL_0,HF,,125.0,0.0,1.0,269.35,46.5,4.0,1362.0,-797.143863004403,
IJODER_0,HF,,64.0,0.0,1.0,166.07,24.5,4.0,373.0,-610.388552804,
IQIFOF_1,HF,,30.0,1.0,1.0,79.0,23.3,4.0,39.0,-313.445607539932,
IYIREO_0,HF,,166.0,1.0,1.0,347.53,65.6,4.0,579.0,-1012.690782770104,
JAGMEJ_0,HF,,166.0,0.0,1.0,400.37,58.0,4.0,3865.0,-1716.665976206841,
JAHYID_0,HF,,73.0,1.0,1.0,175.17,25.4,4.0,984.0,-898.607284467902,
JAHZAW_0,HF,,68.0,1.0,1.0,159.13,26.7,4.0,597.0,-549.402611542829,
KEFJAH_0,HF,,140.0,1.0,1.0,311.36,52.5,4.0,1227.0,-972.671443557935,
KIJZUZ01_0,HF,,102.0,-1.0,1.0,249.16,31.5,4.0,381.0,-854.624051534897,
LAZJAX_0,HF,,95.0,1.0,1.0,216.22,37.6,4.0,227.0,-721.339618513268,
LEXYIZ_0,HF,,188.0,0.0,1.0,404.56,70.5,4.0,3128.0,-1203.941148084456,
LIPTHF_0,HF,,180.0,0.0,1.0,390.58,64.1,4.0,15281.0,-1777.473407982446,
LUDGOH_0,HF,,188.0,0.0,1.0,434.53,62.0,4.0,3932.0,-1970.377040709333,
LURHIP_0,HF,,56.0,1.0,1.0,133.09,24.4,4.0,58.0,-471.132037840945,
LURQUM_0,HF,,146.0,1.0,1.0,351.29,51.8,4.0,6652.0,-1241.230308034083,
MALJIV_0,HF,,110.0,1.0,1.0,243.28,43.1,4.0,219.0,-787.657844008191,
MEHBEG_0,HF,,106.0,1.0,1.0,239.25,40.6,4.0,922.0,-785.377347652723,
MUGPAG_0,HF,,43.0,0.0,1.0,123.0,23.6,4.0,223.0,-515.325911729334,
NELCOZ_0,HF,,204.0,0.0,1.0,451.57,79.5,4.0,7847.0,-1417.10690676977,
NEPHIA_0,HF,,70.0,1.0,1.0,153.18,26.3,4.0,107.0,-458.067186059191,
OHUCOJ_0,HF,,114.0,1.0,1.0,239.36,45.0,4.0,137.0,-697.33774993314,
OHUVUL_0,HF,,58.0,1.0,1.0,127.15,24.5,4.0,260.0,-379.83784046464,
OKEMIB_0,HF,,34.0,1.0,1.0,75.08,23.5,4.0,39.0,-223.365443171985,
OPURAT_0,HF,,185.0,0.0,1.0,390.53,68.9,4.0,1349.0,-1685.155420291811,
PAJVAY_0,HF,,138.0,1.0,1.0,359.19,44.5,4.0,6367.0,-1383.961447640573,
PIXSEU_0,HF,,162.0,1.0,1.0,343.5,63.9,4.0,1929.0,-1010.543907836322,
PUKNOA_0,HF,,37.0,1.0,1.0,93.03,23.5,4.0,42.0,-353.151993613367,
QABKIQ_0,HF,,74.0,1.0,1.0,171.16,25.3,4.0,59.0,-532.058505539279,
QECKOY_0,HF,,114.0,1.0,1.0,247.32,45.4,4.0,790.0,-789.926427388877,
QERCIC_0,HF,,112.0,1.0,1.0,237.34,43.7,4.0,244.0,-696.194264247219,
QOWSAX_0,HF,,,,,501.47,,1.0,,,Multiplicity not compatible with charge
QUJMIU_0,HF,,162.0,1.0,1.0,351.46,64.3,4.0,2324.0,-1103.025604386187,
REJCAN_1,HF,,176.0,0.0,1.0,374.47,66.2,4.0,1808.0,-1351.723438690565,
ROXVIM_0,HF,,94.0,1.0,1.0,223.18,30.1,4.0,400.0,-732.372464088456,
SETXEX_0,HF,,119.0,0.0,1.0,292.25,37.6,4.0,1935.0,-1310.59751084089,
SIRGUW_0,HF,,82.0,1.0,1.0,187.18,31.5,4.0,2060.0,-628.818634811995,
SIXHUF_0,HF,,162.0,1.0,1.0,351.46,64.0,4.0,1140.0,-1103.013114835191,
SIYKOB_0,HF,,186.0,0.0,1.0,406.52,70.3,4.0,2637.0,-1249.214088236046,
SUDXOE_0,HF,,150.0,0.0,1.0,338.3,51.4,4.0,1771.0,-1311.843526657194,
SUMSOI10_0,HF,,142.0,0.0,1.0,320.35,50.5,4.0,1447.0,-1009.821437213396,
SUMSUO_0,HF,,150.0,-1.0,1.0,345.34,47.7,4.0,897.0,-1075.347046320662,
TEBMUI_0,HF,,166.0,0.0,1.0,367.51,57.8,4.0,2697.0,-1710.698978805526,
TOPFAH_0,HF,,82.0,1.0,1.0,187.18,32.0,4.0,129.0,-628.818626366428,
USISOF_0,HF,,224.0,1.0,1.0,475.7,88.4,4.0,1390.0,-1402.900513184775,
UTOTAA_0,HF,,154.0,1.0,1.0,359.36,59.0,4.0,1174.0,-1245.669219586607,
UWANIS_0,HF,,214.0,0.0,1.0,448.71,85.1,4.0,2510.0,-1317.36365694235,
VATJIN_0,HF,,206.0,1.0,1.0,433.67,83.0,4.0,4862.0,-1277.093276403741,
VEGWEJ_0,HF,,133.0,0.0,1.0,286.38,52.2,4.0,2091.0,-860.575546305618,
VUDJEM_0,HF,,78.0,1.0,1.0,183.15,28.5,4.0,158.0,-626.505464035313,
VUFMIT_0,HF,,161.0,0.0,1.0,346.5,60.3,4.0,1351.0,-1339.439263175662,
WAKJAT_0,HF,,162.0,0.0,1.0,346.41,61.4,4.0,4928.0,-1281.755872125276,
WOLTUM_0,HF,,124.0,1.0,1.0,267.36,50.1,4.0,537.0,-820.767909257333,
XARLUY01_0,HF,,130.0,1.0,1.0,299.32,48.3,4.0,1591.0,-996.724401403287,
XIDGIA_1,HF,,170.0,-1.0,1.0,361.5,63.2,4.0,4291.0,-1059.105988595188,
XUMWOS_0,HF,,54.0,1.0,1.0,131.08,24.2,4.0,51.0,-469.975513422203,
YELDAU_0,HF,,134.0,1.0,1.0,295.36,52.6,4.0,8075.0,-944.194621376673,
YIFJEC_0,HF,,151.0,0.0,1.0,346.35,48.9,4.0,1413.0,-1075.916612567371,
YUVMUZ_0,HF,,184.0,-1.0,1.0,397.54,73.3,4.0,19664.0,-1212.192142209461,
ZALPOU_0,HF,,190.0,1.0,1.0,427.48,62.1,4.0,2976.0,-1312.292660848988,
ZEKQUD_0,HF,,125.0,0.0,1.0,269.35,46.3,4.0,2045.0,-797.165284343605,
ZUCFUB_0,HF,,221.0,0.0,1.0,498.57,82.1,4.0,9452.0,-1592.769223832769,
ZUZROB_0,HF,,110.0,-1.0,1.0,261.22,38.2,4.0,1417.0,-886.576145179895,
