Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Error Code
IQIFOF_1,HF,def2-TZVP,186.0,1.0,1.0,79.0,30.5,8.0,1538.0,-311.691413114957,
IYIREO_0,HF,def2-TZVP,1022.0,1.0,1.0,347.53,428.4,8.0,183075.0,-1009.000619385865,
JAGMEJ_0,HF,def2-TZVP,976.0,0.0,1.0,400.37,391.1,8.0,254462.0,-1700.206890877322,
JAHYID_0,HF,def2-TZVP,402.0,1.0,1.0,175.17,85.8,8.0,30823.0,-897.24697962139,
JAHZAW_0,HF,def2-TZVP,420.0,1.0,1.0,159.13,93.2,8.0,20180.0,-543.764227139321,
KEFJAH_0,HF,def2-TZVP,864.0,1.0,1.0,311.36,353.4,8.0,92874.0,-964.555614283637,
KIJZUZ01_0,HF,def2-TZVP,632.0,-1.0,1.0,249.16,161.7,8.0,29089.0,-843.543398876445,
LAZJAX_0,HF,def2-TZVP,586.0,1.0,1.0,216.22,170.8,8.0,57570.0,-715.9766770604,
LEXYIZ_0,HF,def2-TZVP,1159.0,0.0,1.0,404.56,526.3,8.0,628410.0,-1196.782952184483,
LIPTHF_0,HF,def2-TZVP,1011.0,0.0,1.0,390.58,419.1,8.0,309217.0,-1764.888635020754,
LUDGOH_0,HF,def2-TZVP,1063.0,0.0,1.0,434.53,424.6,8.0,537991.0,-1971.968609065252,
LURHIP_0,HF,def2-TZVP,346.0,1.0,1.0,133.09,65.2,8.0,5468.0,-466.750677951557,
LURQUM_0,HF,def2-TZVP,902.0,1.0,1.0,351.29,286.9,8.0,246759.0,-1227.078767030795,
MALJIV_0,HF,def2-TZVP,678.0,1.0,1.0,243.28,216.5,8.0,29855.0,-778.117380031599,
MEHBEG_0,HF,def2-TZVP,654.0,1.0,1.0,239.25,179.2,8.0,200848.0,-775.829969841398,
MUGPAG_0,HF,def2-TZVP,267.0,0.0,1.0,123.0,40.7,8.0,4906.0,-514.849786218848,
NELCOZ_0,HF,def2-TZVP,1258.0,0.0,1.0,451.57,595.2,8.0,583783.0,-1405.567833666597,
NEPHIA_0,HF,def2-TZVP,432.0,1.0,1.0,153.18,106.7,8.0,11160.0,-463.237140136518,
OHUCOJ_0,HF,def2-TZVP,702.0,1.0,1.0,239.36,235.8,8.0,50781.0,-698.77110268593,
OHUVUL_0,HF,def2-TZVP,358.0,1.0,1.0,127.15,69.0,8.0,14634.0,-386.276370951844,
OKEMIB_0,HF,def2-TZVP,210.0,1.0,1.0,75.08,32.3,8.0,2201.0,-232.364252491661,
OPURAT_0,HF,def2-TZVP,1041.0,0.0,1.0,390.53,449.5,8.0,219345.0,-1674.15929179255,
PAJVAY_0,HF,def2-TZVP,854.0,1.0,1.0,359.19,254.8,8.0,113794.0,-1370.408768809858,
PIXSEU_0,HF,def2-TZVP,998.0,1.0,1.0,343.5,397.3,8.0,112792.0,-1006.615067676435,
PUKNOA_0,HF,def2-TZVP,229.0,1.0,1.0,93.03,32.8,8.0,2702.0,-350.74316762452,
QABKIQ_0,HF,def2-TZVP,458.0,1.0,1.0,171.16,82.9,8.0,4735.0,-535.480801418538,
QECKOY_0,HF,def2-TZVP,702.0,1.0,1.0,247.32,209.7,8.0,75155.0,-780.498196405894,
QERCIC_0,HF,def2-TZVP,690.0,1.0,1.0,237.34,236.1,8.0,65417.0,-697.607375929211,
QOWSAX_0,HF,def2-TZVP,,,,501.47,,1.0,,,Multiplicity not compatible with charge
QUJMIU_0,HF,def2-TZVP,998.0,1.0,1.0,351.46,396.6,8.0,213932.0,-1088.345139384048,
REJCAN_1,HF,def2-TZVP,1035.0,0.0,1.0,374.47,435.8,8.0,372527.0,-1347.578942254521,
ROXVIM_0,HF,def2-TZVP,582.0,1.0,1.0,223.18,168.9,8.0,59976.0,-727.975525899927,
SETXEX_0,HF,def2-TZVP,687.0,0.0,1.0,292.25,219.3,8.0,79489.0,-1309.231040126174,
SIRGUW_0,HF,def2-TZVP,506.0,1.0,1.0,187.18,128.0,8.0,97652.0,-621.864087219382,
SIXHUF_0,HF,def2-TZVP,998.0,1.0,1.0,351.46,386.3,8.0,313473.0,-1088.353640784889,
SIYKOB_0,HF,def2-TZVP,1147.0,0.0,1.0,406.52,493.1,8.0,826784.0,-1236.510671969647,
SUDXOE_0,HF,def2-TZVP,877.0,0.0,1.0,338.3,330.6,8.0,179434.0,-1303.217817850259,
SUMSOI10_0,HF,def2-TZVP,877.0,0.0,1.0,320.35,325.4,8.0,519624.0,-1000.935562629385,
SUMSUO_0,HF,def2-TZVP,928.0,-1.0,1.0,345.34,341.1,8.0,112770.0,-1069.723249446474,
TEBMUI_0,HF,def2-TZVP,926.0,0.0,1.0,367.51,370.8,8.0,178294.0,-1701.34485373403,
TOPFAH_0,HF,def2-TZVP,506.0,1.0,1.0,187.18,127.8,8.0,21270.0,-621.810349599305,
USISOF_0,HF,def2-TZVP,1380.0,1.0,1.0,475.7,745.7,8.0,513405.0,-1392.73836763444,
UTOTAA_0,HF,def2-TZVP,950.0,1.0,1.0,359.36,345.5,8.0,384707.0,-1231.587171500459,
UWANIS_0,HF,def2-TZVP,1317.0,0.0,1.0,448.71,565.9,8.0,181099.0,-1315.058881158776,
VATJIN_0,HF,def2-TZVP,1268.0,1.0,1.0,433.67,610.1,8.0,501746.0,-1275.369387126397,
VEGWEJ_0,HF,def2-TZVP,820.0,0.0,1.0,286.38,300.6,8.0,145205.0,-853.693274241876,
VUDJEM_0,HF,def2-TZVP,482.0,1.0,1.0,183.15,127.6,8.0,16455.0,-619.47909593429,
VUFMIT_0,HF,def2-TZVP,943.0,0.0,1.0,346.5,347.1,8.0,166474.0,-1329.406457254173,
WAKJAT_0,HF,def2-TZVP,949.0,0.0,1.0,346.41,375.5,8.0,381171.0,-1273.229506545671,
WOLTUM_0,HF,def2-TZVP,764.0,1.0,1.0,267.36,258.3,8.0,76386.0,-815.408632806713,
XARLUY01_0,HF,def2-TZVP,802.0,1.0,1.0,299.32,228.3,8.0,74715.0,-996.113297216606,
XIDGIA_1,HF,def2-TZVP,1048.0,-1.0,1.0,361.5,414.8,8.0,573315.0,-1048.15251537504,
XUMWOS_0,HF,def2-TZVP,334.0,1.0,1.0,131.08,59.2,8.0,7169.0,-465.583082755605,
YELDAU_0,HF,def2-TZVP,826.0,1.0,1.0,295.36,283.2,8.0,298533.0,-932.042289801854,
YIFJEC_0,HF,def2-TZVP,934.0,0.0,1.0,346.35,349.1,8.0,201811.0,-1070.294042746177,
YUVMUZ_0,HF,def2-TZVP,1134.0,-1.0,1.0,397.54,484.8,8.0,662683.0,-1200.336646582963,
ZALPOU_0,HF,def2-TZVP,1174.0,1.0,1.0,427.48,421.7,8.0,177252.0,-1302.728743170308,
ZEKQUD_0,HF,def2-TZVP,771.0,0.0,1.0,269.35,282.1,8.0,103925.0,-793.628624929558,
ZUCFUB_0,,,,,,,,,,,.OUT File not found
ZUZROB_0,HF,def2-TZVP,680.0,-1.0,1.0,261.22,217.8,8.0,296183.0,-881.422736546636,
